,Instruction,Output
10,သစ်ပင်စိုက်ပျိုးရာတွင် မြေသြဇာ ဘယ်လိုအသုံးပြုရမလဲ?,အပင်၏လိုအပ်ချက်ပေါ်မူတည်၍ organic သို့မဟုတ် inorganic မြေသြဇာကို ညွှန်ကြားချက်အတိုင်း အသုံးပြုပါ
11,သစ်ပင်စိုက်ပျိုးရာတွင် အဖြစ်အများဆုံး မှားတတ်သောအမှားများက ဘာတွေလဲ?,လွန်ကဲစွာရေလောင်းခြင်း၊ မလုံလောက်သော နေရောင်ခြည်၊ မသင့်တော်သော မြေဆီလွှာတို့ဖြစ်သည်
12,သစ်ပင်စိုက်ပျိုးရာတွင် companion planting ဆိုတာ ဘာလဲ?,Companion planting သည် အပင်အချင်းချင်း အကျိုးပြုစေသော အပင်များကို အတူတကွစိုက်ပျိုးခြင်းဖြစ်သည်
13,သစ်ပင်စိုက်ပျိုးရာတွင် ပိုးမွှားကာကွယ်ရေးကို ဘယ်လိုလုပ်ဆောင်ရမလဲ?,သဘာဝနည်းလမ်းများ သို့မဟုတ် organic pesticides များကို အသုံးပြု၍ ပိုးမွှားကာကွယ်နိုင်သည်
14,သစ်ပင်တွင် ရောဂါလက္ခဏာများကို ဘယ်လိုရှာဖွေရမလဲ?,အရွက်အရောင်ပြောင်းလဲခြင်း၊ ပုံမှန်မဟုတ်သော ကြီးထွားမှု၊ အရွက်ညှိုးခြင်းစသည့် လက္ခဏာများကို သတိပြုပါ
15,Pruning - အကိုင်းအခက်ချိုင်ခြင်းက သစ်ပင်အတွက် ဘာကြောင့်အရေးကြီးသလဲ?,Pruning - အကိုင်းအခက်ချိုင်ခြင်း သည် သစ်ပင်၏ပုံသဏ္ဍာန်ကို ထိန်းသိမ်းရန်၊ ကျန်းမာရေးကောင်းစေရန်နှင့် ကြီးထွားမှုကို မြှင့်တင်ရန် အထောက်အကူပြုသည်
16,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာတိုက်စားမှု ကို ဘယ်လိုကာကွယ်နိုင်မလဲ?,Mulching - မြေငွေ့ထိန်းခြင်း၊ cover crops စိုက်ပျိုးခြင်း၊ terracing - လှေကားထစ်စိုက်ခြင်း တို့ဖြင့် မြေဆီလွှာတိုက်စားမှု ကို ကာကွယ်နိုင်သည်
17,သစ်ပင်စိုက်ပျိုးရာတွင် ရေသွင်းစနစ်က ဘာကြောင့်အရေးကြီးသလဲ?,ထိရောက်သော ရေသွင်းစနစ်သည် ရေကို စနစ်တကျအသုံးပြုစေပြီး သစ်ပင်ကြီးထွားမှုကို အထောက်အကူပြုသည်
18,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာစမ်းသပ်ဖို့က ဘာကြောင့်အရေးကြီးသလဲ?,မြေဆီလွှာစမ်းသပ်ခြင်း သည် မြေဆီလွှာ၏ အရည်အသွေးနှင့် အာဟာရပါဝင်မှုကို သိရှိစေပြီး သင့်တော်သော ပြုပြင်မှုများပြုလုပ်နိုင်စေသည်
19,သစ်ပင်စိုက်ပျိုးရာတွင် sustainability ကို ဘယ်လိုထိန်းသိမ်းနိုင်မလဲ?,ရေရှည်တည်တံ့သော နည်းလမ်းများ၊ သဘာဝမြေသြဇာအသုံးပြုခြင်း၊ ဇီဝမျိုးစုံမျိုးကွဲထိန်းသိမ်းခြင်းတို့ဖြင့် sustainability ကို ထိန်းသိမ်းနိုင်သည်
20,သစ်ပင်စိုက်ပျိုးရာတွင် အမြစ်စနစ်က ဘာကြောင့်အရေးကြီးသလဲ?,အမြစ်စနစ်သည် အပင်ကို မြေဆီလွှာတွင် ခိုင်မြဲစေပြီး ရေနှင့်အာဟာရများကို စုပ်ယူရန် အထောက်အကူပြုသည်
21,သစ်ပင်စိုက်ပျိုးရာတွင် ရာသီဥတု၏ သက်ရောက်မှုက ဘာလဲ?,ရာသီဥတုသည် အပင်၏ကြီးထွားမှု၊ ရေလိုအပ်ချက်နှင့် အာဟာရလိုအပ်ချက်တို့အပေါ် သက်ရောက်မှုရှိသည်
22,Grafting - အကိုင်းဆက်ခြင်း ဆိုတာဘာလဲ? သစ်ပင်စိုက်ပျိုးရာတွင် ဘယ်လိုအသုံးဝင်သလဲ?,Grafting - အကိုင်းဆက်ခြင်းသည် အပင်နှစ်ပင်ကို ပေါင်းစပ်ခြင်းဖြစ်ပြီး ပိုမိုကောင်းမွန်သော မျိုးရိုးဗီဇလက္ခဏာများရရှိရန် အသုံးပြုသည်
23,သစ်ပင်စိုက်ပျိုးရာတွင် ပတ်ဝန်းကျင်ထိန်းသိမ်းရေးက ဘာကြောင့်အရေးကြီးသလဲ?,ပတ်ဝန်းကျင်ထိန်းသိမ်းရေးသည် ဇီဝမျိုးစုံမျိုးကွဲကို ကာကွယ်ပြီး ရေရှည်တည်တံ့သော စိုက်ပျိုးရေးကို မြှင့်တင်ပေးသည်
24,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာ aeration က ဘာကြောင့်အရေးကြီးသလဲ?,မြေဆီလွှာ aeration သည် အမြစ်များ အောက်ဆီဂျင်ရရှိစေပြီး ကျန်းမာသောကြီးထွားမှုကို အထောက်အကူပြုသည်
25,သစ်ပင်စိုက်ပျိုးရာတွင် သစ်ရွက်ဆွေးမြေသြဇာ က ဘယ်လိုအကျိုးကျေးဇူးရှိသလဲ?,သစ်ရွက်ဆွေး မြေသြဇာ သည် သဘာဝမြေသြဇာဖြစ်ပြီး မြေဆီလွှာဖွဲ့စည်းပုံကို တိုးတက်စေကာ စွန့်ပစ်ပစ္စည်းများကို လျှော့ချပေးသည်
26,သစ်ပင်စိုက်ပျိုးရာတွင် ဇီဝမျိုးစုံမျိုးကွဲကို ဘယ်လိုထိန်းသိမ်းနိုင်မလဲ?,ဒေသရင်းမျိုးစိတ်များစိုက်ပျိုးခြင်း၊ ပိုးသတ်ဆေးအသုံးပြုမှုလျှော့ချခြင်းတို့ဖြင့် ထိန်းသိမ်းနိုင်သည်
27,သစ်ပင်စိုက်ပျိုးရာတွင် intercropping ဆိုတာဘာလဲ?,Intercropping သည် မတူညီသောသီးနှံအမျိုးအစားများကို တစ်ပြိုင်နက်တည်း အတူတကွစိုက်ပျိုးခြင်းဖြစ်သည်
28,သစ်ပင်စိုက်ပျိုးရာတွင် ရာသီအလိုက်ပြောင်းလဲမှုများကို ဘယ်လိုကိုင်တွယ်ရမလဲ?,ရာသီအလိုက် ရေပေးခြင်း၊ မြေသြဇာထည့်ခြင်းနှင့် ပြုစုစောင့်ရှောက်မှုပုံစံများကို ချိန်ညှိပါ
29,သစ်ပင်စိုက်ပျိုးရာတွင် စိုထိုင်းဆထိန်းသိမ်းခြင်းက ဘာကြောင့်အရေးကြီးသလဲ?,စိုထိုင်းဆထိန်းသိမ်းခြင်းသည် အပင်၏ရေလိုအပ်ချက်ကို လျှော့ချပေးပြီး မြေဆီလွှာကျန်းမာရေးကို ထိန်းသိမ်းပေးသည်
30,သစ်ပင်စိုက်ပျိုးရာတွင် ရေပေးဝေစနစ်က ဘယ်လိုအထောက်အကူပြုသလဲ?,ရေပေးဝေစနစ်သည် ရေကိုထိရောက်စွာအသုံးချစေပြီး အပင်များကို လိုအပ်သောရေပမာဏ တိကျစွာပေးနိုင်သည်
31,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာ compaction ကို ဘယ်လိုရှောင်ရှားနိုင်မလဲ?,လမ်းလျှောက်သည့်နေရာများသတ်မှတ်ခြင်း၊ မြေဆီလွှာကို ဖွဖွလေးထွန်ယက်ခြင်း၊ သင့်လျော်သော mulching - မြေငွေ့ထိန်းသိမ်းခြင်းတို့ ပြုလုပ်ခြင်းတို့ဖြင့် ရှောင်ရှားနိုင်သည်
32,Pollination - ဝတ်မှုန်ကူးခြင်းက သစ်ပင်စိုက်ပျိုးရေးတွင် ဘယ်လိုအရေးပါသလဲ?,Pollination - ဝတ်မှုန်ကူးသည် မျိုးပွားခြင်းနှင့် မျိုးစေ့ထုတ်လုပ်ခြင်းအတွက် အရေးကြီးပြီး အချို့သီးပင်များအတွက် အသီးသီးရန် မရှိမဖြစ်လိုအပ်သည်
33,သစ်ပင်စိုက်ပျိုးရာတွင် ဓာတုပိုးသတ်ဆေးအစား သဘာဝနည်းလမ်းများကို ဘယ်လိုအသုံးပြုနိုင်မလဲ?,ဇီဝထိန်းချုပ်နည်း၊ companion planting၊ သဘာဝပိုးသတ်ဆေးများအသုံးပြုခြင်းတို့ဖြင့် ဓာတုပိုးသတ်ဆေးအစားထိုးနိုင်သည်
34,သစ်ပင်စိုက်ပျိုးရာတွင် မိုးရေသိုလှောင်အသုံးပြုခြင်းက ဘယ်လိုအကျိုးကျေးဇူးရှိသလဲ?,မိုးရေသိုလှောင်အသုံးပြုခြင်းသည် ရေကုန်ကျစရိတ်လျှော့ချပေးပြီး ရေရှားပါးချိန်တွင် အရန်ရေရင်းမြစ်အဖြစ် အသုံးဝင်သည်
35,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာတိုက်စားခြင်းကို တိုက်ဖျက်ရန် cover crops ကို ဘယ်လိုအသုံးပြုနိုင်မလဲ?,Cover crops သည် မြေဆီလွှာကို ဖုံးအုပ်ပေးပြီး တိုက်စားခြင်းကို ကာကွယ်ပေးသည်၊ မြေဆီအရည်အသွေးကိုလည်း မြှင့်တင်ပေးသည်
36,သစ်ပင်စိုက်ပျိုးရာတွင် ဒေသရင်းမျိုးစိတ်များကို ဘာကြောင့်ဦးစားပေးသင့်သလဲ?,ဒေသရင်းမျိုးစိတ်များသည် ဒေသရာသီဥတုနှင့် ပတ်ဝန်းကျင်အခြေအနေများနှင့် ပိုမိုလိုက်လျောညီထွေဖြစ်ပြီး ဒေသဇီဝမျိုးစုံမျိုးကွဲကို ထိန်းသိမ်းပေးသည်
37,သစ်ပင်စိုက်ပျိုးရာတွင် အပူပိုင်းဒေသရာသီဥတုအတွက် ဘယ်လိုအထူးစီမံမှုများ လုပ်ဆောင်ရမလဲ?,ရေထိန်းသိမ်းမှုနည်းလမ်းများ၊ အရိပ်ရအပင်များစိုက်ပျိုးခြင်း၊ မြေဆီလွှာကာကွယ်ခြင်းတို့ကို အထူးဂရုပြုလုပ်ဆောင်သင့်သည်
38,သစ်ပင်စိုက်ပျိုးရာတွင် ရေရှည်တည်တံ့သောစိုက်ပျိုးရေးနည်းစနစ်များကို ဘယ်လိုအသုံးချနိုင်မလဲ?,သဘာဝမြေသြဇာသုံးခြင်း၊ ရေထိန်းသိမ်းခြင်း၊ သီးနှံလှည့်စနစ်သုံးခြင်းတို့ဖြင့် ရေရှည်တည်တံ့သောစိုက်ပျိုးရေးကို လုပ်ဆောင်နိုင်သည်
39,မြန်မာနိုင်ငံတွင် စိုက်ပျိုးရန် သင့်တော်သော အပင်များကို ဖော်ပြပါ။,မြန်မာနိုင်ငံတွင် စိုက်ပျိုးရန် သင့်တော်သော အပင်များမှာ - စပါး၊ ပဲမျိုးစုံ၊ ကြက်သွန်နီ၊ ငရုတ်၊ ချင်း၊ နှမ်း၊ ပိန်းဥ နှင့် သရက်ပင် တို့ဖြစ်သည်။
40,ရာသီဥတုပူပြင်းသော ဒေသများတွင် စိုက်ပျိုးနိုင်သော အပင်များကို အကြံပြုပါ။,ရာသီဥတုပူပြင်းသော ဒေသများတွင် စိုက်ပျိုးနိုင်သော အပင်များမှာ - မုန်ညင်းပင်၊ ခရမ်းချဉ်ပင်၊ ကြက်ဟင်းခါးပင်၊ သခွားနှင့် ဖရဲ တို့ဖြစ်သည်။
41,မြန်မာနိုင်ငံတွင် စိုက်ပျိုးရေးအတွက် ဆည်မြောင်းစနစ်များအကြောင်း ဖော်ပြပါ။,မြန်မာနိုင်ငံတွင် အသုံးပြုသော ဆည်မြောင်းစနစ်များမှာ - ရေသွင်းခြင်း၊ မိုးရေစုဆောင်းခြင်းနှင့် ရေဖျန်းပေးသည့်စနစ် တို့ဖြစ်သည်။ ဒေသအလိုက် ရေရရှိနိုင်မှုပေါ် မူတည်၍ သင့်တော်သောစနစ်ကို ရွေးချယ်အသုံးပြုကြသည်။
42,မြန်မာနိုင်ငံတွင် organic farming ပြုလုပ်ရန် အကြံပြုချက်များ ပေးပါ။,Organic farming အတွက် အကြံပြုချက်များမှာ - သဘာဝမြေဩဇာသုံးခြင်း၊ သီးနှံအလှည့်ကျစိုက်ပျိုးခြင်း၊ ဇီဝနည်းဖြင့် ပိုးမွှားကာကွယ်ခြင်း နှင့် မြေဆီလွှာထိန်းသိမ်းခြင်းတို့ ဖြစ်သည်။ ဈေးကွက်လိုအပ်ချက်အရ organic ထုတ်ကုန်များ ပိုမိုထုတ်လုပ်သင့်သည်။
43,မြန်မာနိုင်ငံတွင် ရာသီဥတုပြောင်းလဲမှုကို ခံနိုင်ရည်ရှိသော အပင်မျိုးစိတ်များအကြောင်း ဆွေးနွေးပါ။,ရာသီဥတုပြောင်းလဲမှုကို ခံနိုင်ရည်ရှိသော အပင်မျိုးစိတ်များမှာ - ရေငတ်ဒဏ်ခံနိုင်သော စပါးမျိုး၊ ပူပြင်းခြောက်သွေ့မှုဒဏ်ခံနိုင်သော ပဲမျိုးစိတ်များ နှင့် ရေကြီးမှုဒဏ်ခံနိုင်သော ဟင်းသီးဟင်းရွက်မျိုးစိတ်များ ဖြစ်သည်။ ဤမျိုးစိတ်များကို စိုက်ပျိုးခြင်းဖြင့် ရာသီဥတုဒဏ်ကို ကြံ့ကြံ့ခံနိုင်မည်ဖြစ်သည်။
44,မြန်မာနိုင်ငံတွင် agroforestry စနစ်အကြောင်း ရှင်းပြပါ။,Agroforestry သည် သစ်တောနှင့် စိုက်ပျိုးရေးကို ပေါင်းစပ်ထားသော စနစ်ဖြစ်သည်။ မြန်မာနိုင်ငံတွင် ကျွန်းပင်၊ ပိတောက်ပင် စသည့် သစ်မာပင်များနှင့်အတူ ကော်ဖီ၊ ငှက်ပျော၊ ထန်း စသည့် စီးပွားဖြစ်သီးနှံများကို တွဲဖက်စိုက်ပျိုးကြသည်။ ဤနည်းဖြင့် ဝင်ငွေတိုးမြှင့်ရရှိပြီး သဘာဝပတ်ဝန်းကျင်ကိုလည်း ထိန်းသိမ်းနိုင်သည်။
45,မြန်မာနိုင်ငံတွင် hydroponics - မြေမဲ့စိုက်ပျိုးရေးစနစ် အသုံးပြုပုံကို ဖော်ပြပါ။,Hydroponics - မြေမဲ့စိုက်ပျိုးရေးစနစ်သည် မြေမသုံးဘဲ ရေဖြင့်သာ အပင်စိုက်ပျိုးသည့်နည်း ဖြစ်သည်။ မြန်မာနိုင်ငံတွင် ဟင်းသီးဟင်းရွက်များဖြစ်သော ဆလတ်ရွက်၊ ပင်စိမ်း၊ ခရမ်းချဉ်သီး စသည်တို့ကို ဤနည်းဖြင့် စိုက်ပျိုးကြသည်။ မြို့ပြဒေသများတွင် စားသုံးမှုပိုများပြီး နေရာကျဉ်းကျပ်သောကြောင့် ဤနည်းစနစ် ပိုမိုခေတ်စားလာသည်။
46,မြန်မာ့ရိုးရာ စိုက်ပျိုးရေးဗဟုသုတများကို မျိုးဆက်သစ်လူငယ်များထံ မည်သို့ လက်ဆင့်ကမ်းမည်နည်း။,မျိုးဆက်သစ်လူငယ်များထံ ရိုးရာစိုက်ပျိုးရေးဗဟုသုတများ လက်ဆင့်ကမ်းရန် - ကျေးရွာအခြေပြု သင်တန်းများ ဖွင့်လှစ်ခြင်း၊ လက်တွေ့လုပ်ငန်းခွင် လေ့ကျင့်ပေးခြင်း၊ ဒစ်ဂျစ်တယ်နည်းပညာဖြင့် အသိပညာဖြန့်ဝေခြင်း နှင့် ကျောင်းသင်ရိုးညွှန်းတမ်းတွင် ထည့်သွင်းသင်ကြားခြင်းတို့ ဆောင်ရွက်နိုင်သည်။
47,အိမ်တွင်းအပင်များ စိုက်ပျိုးရန် အကောင်းဆုံး နေရာများကို ဖော်ပြပါ။,အိမ်တွင်းအပင်များအတွက် အကောင်းဆုံးနေရာများမှာ - ပြတင်းပေါက်အနီး၊ စာဖတ်စားပွဲပေါ်၊ အိပ်ခန်းထဲ၊ ရေချိုးခန်းထဲ နှင့် မီးဖိုခန်းထဲတို့ ဖြစ်သည်။ နေရောင်ခြည်ရရှိမှု နှင့် စိုထိုင်းဆအပေါ် မူတည်၍ နေရာရွေးချယ်သင့်သည်။
48,အိမ်တွင်းလေထုသန့်စင်စေသော အပင်များကို စာရင်းပြုစုပေးပါ။,အိမ်တွင်းလေထုသန့်စင်စေသော အပင်များမှာ - စပါးလင်၊ Snake Plant နှင့် Aloe Vera တို့ဖြစ်သည်။ ဤအပင်များသည် လေထဲမှ အဆိပ်အတောက်ဓာတ်များကို စုပ်ယူဖယ်ရှားပေးနိုင်သည်။
49,အလင်းရောင်နည်းပါးသော နေရာတွင် ကြီးထွားနိုင်သည့် အိမ်တွင်းအပင်များကို အကြံပြုပါ။,အလင်းရောင်နည်းပါးသော နေရာတွင် ကြီးထွားနိုင်သည့် အိမ်တွင်းအပင်များမှာ - Snake Plant၊ ZZ Plant၊ Chinese Evergreen နှင့် Pothos တို့ဖြစ်သည်။ ဤအပင်များသည် အလင်းရောင်နည်းပါးသော အခြေအနေတွင် ရှင်သန်ကြီးထွားနိုင်စွမ်း ကောင်းမွန်သည်။
50,အိမ်တွင်းအပင်များကို ရေဘယ်လိုလောင်းရမလဲ ရှင်းပြပါ။,အိမ်တွင်းအပင်များကို ရေလောင်းရာတွင် - မြေစိုထိုင်းဆကို စစ်ဆေးပြီးမှ လောင်းပါ။ ရေများလွန်းခြင်းကို ရှောင်ကြဉ်ပါ။ အချို့အပင်များကို တစ်ပတ်တစ်ကြိမ်၊ အချို့ကို နှစ်ပတ်တစ်ကြိမ် လောင်းရသည်။ ဆေးရည်စိမ်နည်းဖြင့် ရေလောင်းခြင်းသည် အကောင်းဆုံးဖြစ်သည်။ ရာသီအလိုက် ရေလိုအပ်ချက် ပြောင်းလဲတတ်သည်ကို သတိပြုပါ။
51,အိမ်တွင်းအပင်များအတွက် သင့်လျော်သော မြေဆီအမျိုးအစားများကို ဖော်ပြပါ။,အိမ်တွင်းအပင်များအတွက် သင့်လျော်သော မြေဆီအမျိုးအစားများမှာ - ပေါ့ပါးသော မြေဆီ၊ ရေစီးကောင်းသော မြေဆီ၊ Peat moss ရောစပ်ထားသော မြေဆီ နှင့် Perlite ပါဝင်သော မြေဆီတို့ ဖြစ်သည်။ အပင်အမျိုးအစားပေါ် မူတည်၍ သင့်လျော်သော မြေဆီကို ရွေးချယ်သင့်သည်။
52,လွယ်ကူစွာ ပြုစုနိုင်သော အိမ်တွင်းအပင်များကို အကြံပြုပါ။,လွယ်ကူစွာ ပြုစုနိုင်သော အိမ်တွင်းအပင်များမှာ - Snake Plant၊ ZZ Plant၊ Pothos၊ Spider Plant နှင့် Dracaena တို့ဖြစ်သည်။ ဤအပင်များသည် ရေပုံမှန်လောင်းပေးရုံဖြင့် ကြီးထွားနိုင်ပြီး ရောဂါဒဏ်ခံနိုင်ရည်လည်း ကောင်းမွန်သည်။
53,အိမ်တွင်းအပင်များတွင် ဖြစ်တတ်သော ရောဂါပိုးမွှားများနှင့် ကုသနည်းများကို ဖော်ပြပါ။,အိမ်တွင်းအပင်များတွင် ဖြစ်တတ်သော ရောဂါပိုးမွှားများမှာ - ပင့်ကူငယ်၊ အညှောင့်စုပ်ပိုး၊ ခရုဖြူ နှင့် မှိုရောဂါတို့ဖြစ်သည်။ ကုသရန် - ရေနွေးငွေ့ဖြင့် သန့်စင်ခြင်း၊ အရက်ပျံဖြင့် သုတ်ခြင်း၊ သဘာဝပိုးသတ်ဆေးသုံးခြင်း နှင့် ထိခိုက်ပျက်စီးနေသော အပိုင်းများကို ဖြတ်ထုတ်ခြင်းတို့ ပြုလုပ်နိုင်သည်။
54,အိမ်တွင်းအပင်များကို မည်သို့ မျိုးပွားစေရမည်နည်း။,အိမ်တွင်းအပင်များကို မျိုးပွားစေရန်နည်းလမ်းများမှာ - အကိုင်းဖြတ်စိုက်ခြင်း၊ အမြစ်ခွဲခြင်း၊ အရွက်စိုက်ခြင်း နှင့် မျိုးစေ့ချခြင်းတို့ ဖြစ်သည်။ Pothos နှင့် Spider Plant တို့ကို ရေတွင်ထည့်၍ အမြစ်ထွက်လာအောင် ပြုလုပ်နိုင်သည်။ Snake Plant ကို အရွက်ဖြတ်၍ စိုက်နိုင်သည်။ မျိုးပွားနည်းသည် အပင်အမျိုးအစားပေါ် မူတည်၍ ကွဲပြားနိုင်သည်။
55,အိမ်တွင်းအပင်များကို ဘယ်လို အစာကျွေးရမလဲ။,အိမ်တွင်းအပင်များကို အစာကျွေးရန် - အပင်အာဟာရဓာတ် (NPK ဓာတ်) ပါဝင်သော မြေသြဇာကို အသုံးပြုပါ။ အရွက် အစိမ်းရောင်ရင့်စေရန် နိုက်ထရိုဂျင်၊ အမြစ်ကြီးထွားစေရန် ဖော့စဖရပ်၊ ပန်းပွင့်စေရန် ပိုတက်စီယမ် ဓာတ်များ လိုအပ်သည်။ ဇီဝမြေဩဇာ သို့မဟုတ် ငါးမြေဩဇာကိုလည်း အသုံးပြုနိုင်သည်။ မြေဩဇာကို ညွှန်ကြားချက်အတိုင်း အသုံးပြုရန် အရေးကြီးသည်။
56,အိမ်တွင်းအပင်များအတွက် အကောင်းဆုံး အိုးအမျိုးအစားများကို အကြံပြုပါ။,အိမ်တွင်းအပင်များအတွက် အကောင်းဆုံး အိုးအမျိုးအစားများမှာ - ရွှံ့အိုး၊ ပလတ်စတစ်အိုး နှင့် သံဇကာအိုးတို့ ဖြစ်သည်။ ရွှံ့အိုးသည် လေဝင်လေထွက်ကောင်းပြီး ရေစိမ့်ထွက်နိုင်သည်။ ပလတ်စတစ်အိုးသည် ပေါ့ပါးပြီး ရွှေ့ပြောင်းရလွယ်ကူသည်။ အိုးအားလုံးတွင် ရေထွက်ပေါက်ပါရှိရန် အရေးကြီးသည်။
57,ပန်းပွင့်သော အိမ်တွင်းအပင်များအကြောင်း ဆွေးနွေးပါ။,ပန်းပွင့်သော အိမ်တွင်းအပင်များမှာ - သစ်ခွပန်း၊ Peace Lily နှင့် Anthurium တို့ဖြစ်သည်။ ဤအပင်များသည် အခန်းတွင်းကို လှပစေပြီး စိတ်ကိုလန်းဆန်းစေသည်။ ပန်းပွင့်စေရန် လုံလောက်သော အလင်းရောင်၊ စိုထိုင်းဆ နှင့် အာဟာရဓာတ်များ လိုအပ်သည်။ ပုံမှန်ပွင့်ရန် ပြုစုစောင့်ရှောက်မှု ပိုလိုအပ်သည်။
58,အိမ်တွင်းအပင်များကို ပိုးမွှားများမှ မည်သို့ကာကွယ်ရမည်နည်း။,အိမ်တွင်းအပင်များကို ပိုးမွှားများမှ ကာကွယ်ရန် - ပုံမှန်စစ်ဆေးခြင်း၊ သဘာဝပိုးသတ်ဆေးဖြန်းခြင်း၊ ဆပ်ပြာရည်ဖြန်းခြင်း၊ အရက်ပျံဖျန်းခြင်း နှင့် ရေဖြင့်ဆေးကြောခြင်းတို့ ပြုလုပ်နိုင်သည်။ စပါးလင်ဆီ သို့မဟုတ် ငရုတ်ကောင်းရည်ကဲ့သို့သော သဘာဝပိုးသတ်ဆေးများကို အသုံးပြုခြင်းသည် ထိရောက်သည်။ အပင်အား ကောင်းမွန်စေရန် ပြုစုခြင်းဖြင့်လည်း ပိုးမွှားများကို ကာကွယ်နိုင်သည်။
59,အိမ်တွင်းအပင်များက အောက်စီဂျင်ထုတ်လုပ်ပုံကို ရှင်းပြပါ။,အိမ်တွင်းအပင်များသည် အလင်းရောင်ရရှိချိန်တွင် အစာချက်လုပ်ခြင်းဖြစ်စဉ်မှတဆင့် အောက်စီဂျင်ကို ထုတ်လုပ်သည်။ ၎င်းတို့သည် ကာဗွန်ဒိုင်အောက်ဆိုဒ်နှင့် ရေကို စုပ်ယူပြီး အောက်စီဂျင်နှင့် ဂလူးကို့စ်အဖြစ် ပြောင်းလဲပေးသည်။
60,အောက်စီဂျင်အများဆုံးထုတ်လုပ်ပေးသော အိမ်တွင်းအပင်များကို ဖော်ပြပါ။,အောက်စီဂျင်အများဆုံးထုတ်လုပ်ပေးသော အိမ်တွင်းအပင်များမှာ - စပါးလင်၊ Snake Plant၊ Pothos၊ Spider Plant နှင့် Weeping Fig တို့ဖြစ်သည်။ ဤအပင်များသည် နေ့ရောညပါ အောက်စီဂျင်ထုတ်လုပ်နိုင်စွမ်း မြင့်မားသည်။
